Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
brain,grey,BS,IB,TH,DORsm,VENT,VP,VPL,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp4,
brain,grey,BS,IB,TH,DORsm,VENT,VP,VPLpc,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm5
brain,fiber tracts,cbf,arb,,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,TEa,TEa6a,,
brain,grey,BS,IB,HY,MEZ,MBO,MM,MMme,
brain,grey,BS,IB,TH,DORsm,VENT,VP,VPM,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp1,
brain,grey,BS,IB,TH,DORsm,VENT,VP,VPMpc,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm6
brain,fiber tracts,cbf,cbc,,,,,,
brain,grey,BS,MB,MBmot,VTA,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl1,
brain,fiber tracts,mfbs,mfsbshy,mfbsma,pm,,,,
brain,grey,CH,CNU,STR,STRv,OT,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv2/3,
brain,grey,BS,MB,MBmot,VTN,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo4,
brain,grey,BS,IB,HY,PVR,OV,,,
brain,grey,BS,HB,MY,MY-mot,x,,,
brain,grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs5,
brain,grey,BS,HB,P,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv5,
brain,grey,BS,HB,MY,MY-mot,XII,,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl5,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp5,
brain,grey,CH,CTX,CTXsp,PA,,,,
brain,grey,BS,HB,MY,MY-mot,y,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId6a,
brain,fiber tracts,lfbs,cst,,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,TEa,TEa6b,,
brain,grey,CH,CTX,CTXpl,OLF,PAA,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo5,
brain,fiber tracts,cm,Vn,sV,sptV,,,,
brain,grey,BS,MB,MBmot,PAG,,,,
brain,grey,BS,IB,HY,LZ,ZI,,,
brain,fiber tracts,cm,VIIn,,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv5,
brain,fiber tracts,mfbs,mfsbshy,mfbse,sm,,,,
brain,grey,CH,CNU,PAL,,,,,
brain,grey,BS,IB,HY,LZ,ZI,FF,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm1,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv6a,
brain,grey,BS,MB,MBsen,IC,ICc,,,
brain,fiber tracts,cbf,cbp,scp,dscp,,,,
brain,grey,CH,CTX,CTXpl,OLF,DP,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp4,
brain,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv6b,
brain,grey,BS,MB,MBsen,IC,ICd,,,
