Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
grey,CH,CTX,CTXpl,Isocortex,FRP,FRP2/3,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr2/3
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl1,
grey,CH,CNU,STR,STRd,CP,,,
fiber tracts,mfbs,mfsbshy,mfbsma,mp,,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv6a,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd4,
grey,BS,HB,P,P-sat,CS,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl6b,
fiber tracts,mfbs,mfsbshy,mfbsma,mtg,,,,
grey,BS,IB,TH,DORsm,VENT,VM,,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv5,
grey,BS,IB,HY,PVR,VLPO,,,
fiber tracts,mfbs,mfsbshy,mfbsma,mtt,,,,
grey,CH,CTX,CTXpl,Isocortex,PERI,PERI5,,
grey,BS,IB,HY,MEZ,VMH,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv2/3,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo1,
fiber tracts,cm,drt,cett,ml,,,,
grey,CH,CTX,CTXpl,OLF,,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv6b,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n5
grey,CH,CTX,CTXsp,,,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv1,
grey,BS,MB,MBmot,PRT,OP,,,
grey,CH,CTX,CTXpl,Isocortex,ILA,ILA1,,
grey,BS,HB,MY,MY-sen,DCN,CU,,
grey,BS,IB,TH,DORsm,VENT,VP,VPL,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp4,
grey,BS,IB,TH,DORsm,VENT,VP,VPLpc,
grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm5
fiber tracts,cbf,arb,,,,,,
grey,CH,CTX,CTXpl,Isocortex,TEa,TEa6a,,
grey,BS,IB,HY,MEZ,MBO,MM,Mmme,
grey,BS,IB,TH,DORsm,VENT,VP,VPM,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp1,
grey,BS,IB,TH,DORsm,VENT,VP,VPMpc,
grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm6
fiber tracts,cbf,cbc,,,,,,
grey,BS,MB,MBmot,VTA,,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl1,
fiber tracts,mfbs,mfsbshy,mfbsma,pm,,,,
grey,CH,CNU,STR,STRv,OT,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv2/3,
grey,BS,MB,MBmot,VTN,,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo4,
grey,BS,IB,HY,PVR,OV,,,
grey,BS,HB,MY,MY-mot,x,,,
grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs5,
grey,BS,HB,P,,,,,
grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv5,
grey,BS,HB,MY,MY-mot,XII,,,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl5,
fiber tracts,lfbs,cc,,,,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp5,
grey,CH,CTX,CTXsp,PA,,,,
grey,BS,HB,MY,MY-mot,y,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId6a,
fiber tracts,lfbs,cst,,,,,,
grey,CH,CTX,CTXpl,Isocortex,TEa,TEa6b,,
grey,CH,CTX,CTXpl,OLF,PAA,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo5,
fiber tracts,cm,Vn,sV,sptV,,,,
grey,BS,MB,MBmot,PAG,,,,
grey,BS,IB,HY,LZ,ZI,,,
fiber tracts,cm,VIIn,,,,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv5,
fiber tracts,mfbs,mfsbshy,mfbse,sm,,,,
grey,CH,CNU,PAL,,,,,
grey,BS,IB,HY,LZ,ZI,FF,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm1,
grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs2/3,
grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv6a,
grey,BS,MB,MBsen,IC,ICc,,,
fiber tracts,cbf,cbp,scp,dscp,,,,
grey,CH,CTX,CTXpl,OLF,DP,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp4,
grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv6b,
grey,BS,MB,MBsen,IC,ICd,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp2/3,
grey,CH,CTX,CTXpl,Isocortex,ILA,ILA5,,
grey,BS,MB,MBsen,IC,ICe,,,
grey,BS,IB,HY,PVR,DMH,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId6b,
fiber tracts,cm,IIIn,,,,,,
grey,BS,MB,MBsen,SCs,SCzo,,,
grey,CH,CTX,CTXpl,Isocortex,ECT,ECT1,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n2/3
grey,BS,HB,MY,MY-mot,DMX,,,
fiber tracts,cm,VIIIn,cVIIIn,tb,,,,
grey,BS,MB,MBsen,SCs,SCsg,,,
grey,CH,CTX,CTXpl,HPF,RHP,PAR,,
grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp6a,
grey,CB,CBN,DN,,,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp5,
grey,CH,CTX,CTXpl,Isocortex,VISC,VISC6b,,
fiber tracts,cbf,cbp,scp,uf,,,,
grey,BS,MB,MBsen,SCs,SCop,,,
grey,BS,HB,MY,MY-mot,PARN,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul2/3
grey,CH,CTX,CTXpl,Isocortex,VISC,VISC6a,,
grey,BS,HB,MY,MY-mot,PAS,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs6a,
fiber tracts,eps,rust,,,,,,
fiber tracts,cbf,cbp,scp,sctv,,,,
grey,BS,HB,P,P-sen,PB,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl4,
grey,BS,MB,MBsta,RAmb,DR,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs1,
