Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
root,grey,CH,CTX,CTXpl,HPF,RHP,PAR,,
root,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp6a,
root,grey,CB,CBN,DN,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp5,
root,grey,CH,CTX,CTXpl,Isocortex,VISC,VISC6b,,
root,fiber tracts,cbf,cbp,scp,uf,,,,
root,grey,BS,MB,MBsen,SCs,SCop,,,
root,grey,BS,HB,MY,MY-mot,PARN,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul2/3
root,grey,CH,CTX,CTXpl,Isocortex,VISC,VISC6a,,
root,grey,BS,HB,MY,MY-mot,PAS,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs6a,
root,fiber tracts,eps,rust,,,,,,
root,fiber tracts,cbf,cbp,scp,sctv,,,,
root,grey,BS,HB,P,P-sen,PB,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl4,
root,grey,BS,MB,MBsta,RAmb,DR,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs1,
root,grey,BS,MB,MBsen,PBG,,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m1
root,grey,BS,HB,P,P-mot,DTN,,,
root,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp6b,
root,fiber tracts,mfbs,mfbc,amc,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI2/3,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n6a
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs6b,
root,grey,CH,CTX,CTXpl,Isocortex,VISC,VISC1,,
root,grey,BS,HB,P,P-mot,PCG,,,
root,fiber tracts,cm,In,aco,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl5,
root,grey,BS,HB,MY,MY-sen,ECU,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal2/3,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl6a,
root,grey,BS,IB,TH,DORpm,ILM,PCN,,
root,fiber tracts,mfbs,mfbc,act,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm6a,
root,fiber tracts,cm,IVn,,,,,,
root,grey,CB,CBX,VERM,LING,,,,
root,grey,BS,IB,HY,PVR,PD,,,
root,fiber tracts,cm,IIn,bsc,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd6a,
root,fiber tracts,lfbs,cst,cpd,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd6b,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n6b
root,grey,BS,IB,TH,DORpm,ILM,PF,,
root,grey,BS,HB,P,P-mot,PG,,,
root,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd1,
root,grey,CB,CBX,VERM,DEC,,,,
root,grey,BS,HB,MY,MY-mot,AMB,AMBd,,
root,fiber tracts,mfbs,mfbc,cing,,,,,
